Risk Id,Location,Guide Word,Parameter,Meaning,Consequence,Risk
230,Medium,Spatial periodic,Wave properties,Wave properties of passing light are modified by medium in a spatial periodic or regular way,E.g. polarization plane depends periodically from location of medium where it passes through,See l.s.
231,Medium,Spatial aperiodic,Wave properties,Wave properties of passing light are modified by medium in a spatial irregular way,E.g. polarization plane depends stochastically from location of medium where it passes through,See l.s.
232,Medium,Temporal periodic,Wave properties,Wave properties of passing light are modified by medium in a temporally periodic way,See l.s.,See l.s.
233,Medium,Temporal aperiodic,Wave properties,Wave properties of passing light are modified by medium in a temporally irregular way,See l.s.,See l.s.
234,Medium,Remote,Wave properties,Medium changes wave properties with increasing distance,Light is polarized by scattering in medium (larger distance means more polarization),Colours and contrasts depend on observer orientation if it uses polarization filter 
235,Medium,Before,Wave properties,Change of wave properties of transmitted light happens before it is expected,See l.s.,See l.s.
236,Medium,After,Wave properties,Change of wave properties of transmitted light happens after it is expected,See l.s.,See l.s.
237,Medium,No (not none),Particles,No particles in the medium,No particles in the medium which scatter transmitting light,"If particles are needed to e.g. visualize flow dynamics, this will be hampered"
238,Medium,No (not none),Particles,No particles in the medium,The medium has no texture,
239,Medium,No (not none),Particles,No information about Particles,It is not possible to decide if there are any particles in the medium,Correct recognition of medium is hampered or impossible
240,Medium,"More (more of, higher)",Particles,More particles in the medium than expected,Particles in the medium scatter light and reduce transparency,Object recognition is (severely) reduced
241,Medium,"More (more of, higher)",Particles,More particles in the medium than expected,Scene gets clustered/congested by particles in medium,Particles are misinterpreted as texture
242,Medium,"More (more of, higher)",Particles,More particles in the medium than expected,Distance of sight is decreased,Stereo vision can be heavily hampered
243,Medium,"More (more of, higher)",Particles,More particles in the medium than expected,See Less Trans,See Less Trans
244,Medium,"More (more of, higher)",Particles,Particles are larger (than expected),Particles appear as distinct objects,Particles are misinterpreted as objects
245,Medium,"More (more of, higher)",Particles,Particle size is bigger than the light's wavelength,Geometric Scattering,See Less Trans or More Texture
246,Medium,"Less (less of, lower)",Particles,Less particles in the medium (than expected),"Too few particles for recognizing them as part of an ""ensemble""",Particles are misinterpreted (if recognized at all)
247,Medium,"Less (less of, lower)",Particles,Less particles in the medium (than expected),Background is more visible,See Trans
248,Medium,"Less (less of, lower)",Particles,Less particles in the medium (than expected),Distance of sight is increased,
249,Medium,"Less (less of, lower)",Particles,Less particles in the medium (than expected),See Trans,
250,Medium,"Less (less of, lower)",Particles,Smaller particles than expected,Actual visual effects differ from anticipated ones,CV alg. misinterprets unexpected visual effects
251,Medium,"Less (less of, lower)",Particles,Particle size is smaller than the light's wavelength,Rayleigh Scattering - colour of transmitted light is changed,Misinterpretation of colours
252,Medium,As well as,Particles,Particles of different kinds occur simultaneously,Mixture of appearances and optical effects,Reason of disturbances remain undetected by CV alg.
253,Medium,As well as,Particles,Particles are clustered together,Particle clusters can become arbitrarily large,Particle clusters are interpreted as real (relevant) objects
254,Medium,As well as,Particles,Particles are of the same size as the light's wavelength,Mie Scattering - fog effect,Vision hampered
255,Medium,Part of,Particles,Particles break up and form a spray of smaller particles,See More Particles than expected and Less Particle size than expected,See More Particles than expected and Less Particle size than expected
256,Medium,Other than,Particles,Other particles than expected ,Scene appearance not as anticipated,Preconfigured CV alg. features can lead to wrong scene interpretation or high noise in results
257,Medium,Other than,Particles,Other particles than expected ,"See More for ""other than no particles""",
258,Medium,Other than,Particles,Different types of particles are mixed in the medium,Different visual effects combined,Increased number of recognition errors
259,Medium,Where else,Particles,Particles fill up different parts of the scene with different density,Different areas of scene exhibit different visual effects,Different recognition quality throughout an image
260,Medium,Spatial periodic,Particles,Particles are periodically distributed ,"Anisotropic visual effects, i.e. depending on Observer position and viewing direction",Scene appearance depends on Observer position and viewing direction
261,Medium,Spatial aperiodic,Particles,Particles are aperiodically distributed,Typical distribution of particles,See More .. As well as
262,Medium,Temporal periodic,Particles,Particle distribution varies periodically over time,Visual effects change periodically with time ,"Scene appearance changes periodically, therefore depends on moment of recording"
263,Medium,Temporal periodic,Particles,Particle distribution varies periodically over time,See Trans,See Trans
264,Medium,Temporal aperiodic,Particles,Particle distribution varies aperiodically over time,Typical behaviour of particles,See Trans
265,Medium,Temporal aperiodic,Particles,Particle distribution varies aperiodically over time,See Trans,See More .. As well as
266,Medium,Close,Particles,Particles very close to Observer,Single particles may cover larger scene fractions ,Single particles are confused with real scene objects
